iter	Passed	Remaining
0	1	113
1	2	100
2	2	94
3	3	86
4	4	85
5	5	85
6	6	88
7	7	88
8	8	88
9	9	88
10	10	87
11	11	85
12	12	83
13	13	81
14	14	80
15	15	78
16	15	77
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	22	71
24	24	73
25	26	74
26	27	74
27	28	74
28	30	74
29	31	74
30	33	74
31	34	74
32	36	74
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	42	67
39	43	65
40	44	64
41	45	62
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	54	52
51	55	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
